Printing Modifier Definitions:
Tag: can_recruit_explorer, Categories: Country, , All, 
Tag: inti_ceremonial_festivals_cost_modifier, Categories: Country, , All, 
Tag: mayan_ceremonial_festivals_cost_modifier, Categories: Country, , All, 
Tag: sacrifice_noble_blood_cost_modifier, Categories: Country, , All, 
Tag: pilgrimage_piety_cost_modifier, Categories: Country, , All, 
Tag: change_main_school_cost_modifier, Categories: Country, , All, 
Tag: pilgrimage_jain_cost_modifier, Categories: Country, , All, 
Tag: sell_icon_cost_modifier, Categories: Country, , All, 
Tag: religious_offering_cost_modifier, Categories: Country, , All, 
Tag: migrate_pop_based_country_cost_modifier, Categories: Country, , All, 
Tag: add_location_to_international_organization_cost_modifier, Categories: Country, , All, 
Tag: remove_location_from_international_organization_cost_modifier, Categories: Country, , All, 
Tag: army_losses_in_war_cost_modifier, Categories: Country, , All, 
Tag: enemy_army_losses_in_war_cost_modifier, Categories: Country, , All, 
Tag: losses_to_disease_cost_modifier, Categories: Country, , All, 
Tag: damage_done_versus_heathens_modifier, Categories: Unit, , All, 
Tag: damage_done_versus_heretics_modifier, Categories: Unit, , All, 
Tag: cardinal_price_cost_modifier, Categories: Country, , All, 
Tag: navy_heavy_ship_build_cost_modifier, Categories: Country, , All, 
Tag: navy_light_ship_build_cost_modifier, Categories: Country, , All, 
Tag: build_gravel_road_cost_modifier, Categories: Country, , All, 
Tag: build_paved_road_cost_modifier, Categories: Country, , All, 
Tag: build_modern_road_cost_modifier, Categories: Country, , All, 
Tag: build_railroad_cost_modifier, Categories: Country, , All, 
Tag: hire_mercenary_leader_cost_modifier, Categories: Country, , All, 
Tag: hire_mercenary_premium_cost_modifier, Categories: Country, , All, 
Tag: bribe_units_cost_modifier, Categories: Country, , All, 
Tag: hire_prisoners_cost_modifier, Categories: Country, , All, 
Tag: ransom_units_cost_modifier, Categories: Country, , All, 
Tag: subject_pays_colonial_cost_modifier, Categories: Country, , All, 
Tag: subject_pays_tributary_cost_modifier, Categories: Country, , All, 
Tag: army_cavalry_reinforce_cost_modifier, Categories: Country, , All, 
Tag: army_cavalry_maintenance_cost_modifier, Categories: Country, , All, 
Tag: revoke_privilege_cost_modifier, Categories: Country, , All, 
Tag: local_nobles_desired_pop_scaled, Categories: Location, , All, 
Tag: local_nobles_desired_pop, Categories: Location, , All, 
Tag: global_nobles_desired_pop_scaled, Categories: Country, , All, 
Tag: global_nobles_desired_pop, Categories: Country, , All, 
Tag: global_nobles_city_desired_pop_scaled, Categories: Country, , All, 
Tag: global_nobles_city_desired_pop, Categories: Country, , All, 
Tag: global_nobles_rural_desired_pop_scaled, Categories: Country, , All, 
Tag: global_nobles_rural_desired_pop, Categories: Country, , All, 
Tag: global_nobles_migration_allowed, Categories: Country, , All, 
Tag: local_nobles_migration_allowed, Categories: Location, , All, 
Tag: local_nobles_max_literacy, Categories: Location, , All, 
Tag: global_nobles_max_literacy, Categories: Country, , All, 
Tag: local_clergy_desired_pop_scaled, Categories: Location, , All, 
Tag: local_clergy_desired_pop, Categories: Location, , All, 
Tag: global_clergy_desired_pop_scaled, Categories: Country, , All, 
Tag: global_clergy_desired_pop, Categories: Country, , All, 
Tag: global_clergy_city_desired_pop_scaled, Categories: Country, , All, 
Tag: global_clergy_city_desired_pop, Categories: Country, , All, 
Tag: global_clergy_rural_desired_pop_scaled, Categories: Country, , All, 
Tag: global_clergy_rural_desired_pop, Categories: Country, , All, 
Tag: global_clergy_migration_allowed, Categories: Country, , All, 
Tag: local_clergy_migration_allowed, Categories: Location, , All, 
Tag: local_clergy_max_literacy, Categories: Location, , All, 
Tag: global_clergy_max_literacy, Categories: Country, , All, 
Tag: local_burghers_desired_pop_scaled, Categories: Location, , All, 
Tag: local_burghers_desired_pop, Categories: Location, , All, 
Tag: global_burghers_desired_pop_scaled, Categories: Country, , All, 
Tag: global_burghers_desired_pop, Categories: Country, , All, 
Tag: global_burghers_city_desired_pop_scaled, Categories: Country, , All, 
Tag: global_burghers_city_desired_pop, Categories: Country, , All, 
Tag: global_burghers_rural_desired_pop_scaled, Categories: Country, , All, 
Tag: global_burghers_rural_desired_pop, Categories: Country, , All, 
Tag: global_burghers_migration_allowed, Categories: Country, , All, 
Tag: local_burghers_migration_allowed, Categories: Location, , All, 
Tag: local_burghers_max_literacy, Categories: Location, , All, 
Tag: global_burghers_max_literacy, Categories: Country, , All, 
Tag: local_peasants_desired_pop_scaled, Categories: Location, , All, 
Tag: local_peasants_desired_pop, Categories: Location, , All, 
Tag: global_peasants_desired_pop_scaled, Categories: Country, , All, 
Tag: global_peasants_desired_pop, Categories: Country, , All, 
Tag: global_peasants_city_desired_pop_scaled, Categories: Country, , All, 
Tag: global_peasants_city_desired_pop, Categories: Country, , All, 
Tag: global_peasants_rural_desired_pop_scaled, Categories: Country, , All, 
Tag: global_peasants_rural_desired_pop, Categories: Country, , All, 
Tag: global_peasants_migration_allowed, Categories: Country, , All, 
Tag: local_peasants_migration_allowed, Categories: Location, , All, 
Tag: local_peasants_max_literacy, Categories: Location, , All, 
Tag: global_peasants_max_literacy, Categories: Country, , All, 
Tag: local_laborers_desired_pop_scaled, Categories: Location, , All, 
Tag: local_laborers_desired_pop, Categories: Location, , All, 
Tag: global_laborers_desired_pop_scaled, Categories: Country, , All, 
Tag: global_laborers_desired_pop, Categories: Country, , All, 
Tag: global_laborers_rural_desired_pop_scaled, Categories: Country, , All, 
Tag: global_laborers_rural_desired_pop, Categories: Country, , All, 
Tag: global_laborers_city_desired_pop_scaled, Categories: Country, , All, 
Tag: global_laborers_city_desired_pop, Categories: Country, , All, 
Tag: global_laborers_migration_allowed, Categories: Country, , All, 
Tag: local_laborers_migration_allowed, Categories: Location, , All, 
Tag: local_laborers_max_literacy, Categories: Location, , All, 
Tag: global_laborers_max_literacy, Categories: Country, , All, 
Tag: local_soldiers_desired_pop_scaled, Categories: Location, , All, 
Tag: local_soldiers_desired_pop, Categories: Location, , All, 
Tag: global_soldiers_desired_pop_scaled, Categories: Country, , All, 
Tag: global_soldiers_desired_pop, Categories: Country, , All, 
Tag: global_soldiers_rural_desired_pop_scaled, Categories: Country, , All, 
Tag: global_soldiers_rural_desired_pop, Categories: Country, , All, 
Tag: global_soldiers_city_desired_pop_scaled, Categories: Country, , All, 
Tag: global_soldiers_city_desired_pop, Categories: Country, , All, 
Tag: global_soldiers_migration_allowed, Categories: Country, , All, 
Tag: local_soldiers_migration_allowed, Categories: Location, , All, 
Tag: local_soldiers_max_literacy, Categories: Location, , All, 
Tag: global_soldiers_max_literacy, Categories: Country, , All, 
Tag: local_slaves_desired_pop_scaled, Categories: Location, , All, 
Tag: local_slaves_desired_pop, Categories: Location, , All, 
Tag: global_slaves_desired_pop_scaled, Categories: Country, , All, 
Tag: global_slaves_desired_pop, Categories: Country, , All, 
Tag: global_slaves_city_desired_pop_scaled, Categories: Country, , All, 
Tag: global_slaves_city_desired_pop, Categories: Country, , All, 
Tag: global_slaves_rural_desired_pop_scaled, Categories: Country, , All, 
Tag: global_slaves_rural_desired_pop, Categories: Country, , All, 
Tag: global_slaves_migration_allowed, Categories: Country, , All, 
Tag: local_slaves_migration_allowed, Categories: Location, , All, 
Tag: local_slaves_max_literacy, Categories: Location, , All, 
Tag: global_slaves_max_literacy, Categories: Country, , All, 
Tag: local_tribesmen_desired_pop_scaled, Categories: Location, , All, 
Tag: local_tribesmen_desired_pop, Categories: Location, , All, 
Tag: global_tribesmen_desired_pop_scaled, Categories: Country, , All, 
Tag: global_tribesmen_desired_pop, Categories: Country, , All, 
Tag: global_tribesmen_city_desired_pop_scaled, Categories: Country, , All, 
Tag: global_tribesmen_city_desired_pop, Categories: Country, , All, 
Tag: global_tribesmen_rural_desired_pop_scaled, Categories: Country, , All, 
Tag: global_tribesmen_rural_desired_pop, Categories: Country, , All, 
Tag: global_tribesmen_migration_allowed, Categories: Country, , All, 
Tag: local_tribesmen_migration_allowed, Categories: Location, , All, 
Tag: local_tribesmen_max_literacy, Categories: Location, , All, 
Tag: global_tribesmen_max_literacy, Categories: Country, , All, 
Tag: block_from_crown_estate, Categories: Character, , All, 
Tag: crown_estate_target_satisfaction, Categories: Country, , All, 
Tag: crown_estate_satisfaction_decay, Categories: Country, , All, 
Tag: crown_estate_satisfaction_recovery, Categories: Country, , All, 
Tag: crown_estate_max_tax, Categories: Country, , All, 
Tag: crown_estate_min_tax, Categories: Country, , All, 
Tag: crown_estate_levy_size, Categories: Country, , All, 
Tag: local_crown_estate_power, Categories: Location, , All, 
Tag: global_crown_estate_power, Categories: Country, , All, 
Tag: dhimmi_estate_target_satisfaction, Categories: Country, , All, 
Tag: dhimmi_estate_satisfaction_decay, Categories: Country, , All, 
Tag: dhimmi_estate_satisfaction_recovery, Categories: Country, , All, 
Tag: dhimmi_estate_max_tax, Categories: Country, , All, 
Tag: dhimmi_estate_min_tax, Categories: Country, , All, 
Tag: dhimmi_estate_levy_size, Categories: Country, , All, 
Tag: local_dhimmi_estate_power, Categories: Location, , All, 
Tag: global_dhimmi_estate_power, Categories: Country, , All, 
Tag: local_slaves_food_consumption, Categories: Location, , All, 
Tag: global_slaves_food_consumption, Categories: Country, , All, 
Tag: local_tribesmen_food_consumption, Categories: Location, , All, 
Tag: global_tribesmen_food_consumption, Categories: Country, , All, 
Tag: estate_satisfaction_from_building, Categories: Country, , All, 
Tag: global_estate_power, Categories: Country, , All, 
Tag: global_estate_target_satisfaction, Categories: Country, , All, 
Tag: global_estate_satisfaction_decay, Categories: Country, , All, 
Tag: global_estate_satisfaction_recovery, Categories: Country, , All, 
Tag: global_estate_max_tax, Categories: Country, , All, 
Tag: global_estate_min_tax, Categories: Country, , All, 
Tag: global_pop_food_consumption, Categories: Country, , All, 
Tag: local_pop_food_consumption, Categories: Location, , All, 
Tag: nobles_estate_target_satisfaction, Categories: Country, , All, 
Tag: nobles_estate_satisfaction_decay, Categories: Country, , All, 
Tag: nobles_estate_satisfaction_recovery, Categories: Country, , All, 
Tag: nobles_estate_max_tax, Categories: Country, , All, 
Tag: nobles_estate_min_tax, Categories: Country, , All, 
Tag: nobles_estate_levy_size, Categories: Country, , All, 
Tag: local_nobles_estate_power, Categories: Location, , All, 
Tag: global_nobles_estate_power, Categories: Country, , All, 
Tag: local_nobles_food_consumption, Categories: Location, , All, 
Tag: global_nobles_food_consumption, Categories: Country, , All, 
Tag: clergy_estate_target_satisfaction, Categories: Country, , All, 
Tag: clergy_estate_satisfaction_decay, Categories: Country, , All, 
Tag: clergy_estate_satisfaction_recovery, Categories: Country, , All, 
Tag: clergy_estate_max_tax, Categories: Country, , All, 
Tag: clergy_estate_min_tax, Categories: Country, , All, 
Tag: clergy_estate_levy_size, Categories: Country, , All, 
Tag: local_clergy_estate_power, Categories: Location, , All, 
Tag: global_clergy_estate_power, Categories: Country, , All, 
Tag: local_clergy_food_consumption, Categories: Location, , All, 
Tag: global_clergy_food_consumption, Categories: Country, , All, 
Tag: burghers_estate_target_satisfaction, Categories: Country, , All, 
Tag: burghers_estate_satisfaction_decay, Categories: Country, , All, 
Tag: burghers_estate_satisfaction_recovery, Categories: Country, , All, 
Tag: burghers_estate_max_tax, Categories: Country, , All, 
Tag: burghers_estate_min_tax, Categories: Country, , All, 
Tag: burghers_estate_levy_size, Categories: Country, , All, 
Tag: local_burghers_estate_power, Categories: Location, , All, 
Tag: global_burghers_estate_power, Categories: Country, , All, 
Tag: local_burghers_food_consumption, Categories: Location, , All, 
Tag: global_burghers_food_consumption, Categories: Country, , All, 
Tag: peasants_estate_target_satisfaction, Categories: Country, , All, 
Tag: peasants_estate_satisfaction_decay, Categories: Country, , All, 
Tag: peasants_estate_satisfaction_recovery, Categories: Country, , All, 
Tag: peasants_estate_max_tax, Categories: Country, , All, 
Tag: peasants_estate_min_tax, Categories: Country, , All, 
Tag: peasants_estate_levy_size, Categories: Country, , All, 
Tag: local_peasants_estate_power, Categories: Location, , All, 
Tag: global_peasants_estate_power, Categories: Country, , All, 
Tag: local_peasants_food_consumption, Categories: Location, , All, 
Tag: global_peasants_food_consumption, Categories: Country, , All, 
Tag: local_laborers_food_consumption, Categories: Location, , All, 
Tag: global_laborers_food_consumption, Categories: Country, , All, 
Tag: local_soldiers_food_consumption, Categories: Location, , All, 
Tag: global_soldiers_food_consumption, Categories: Country, , All, 
Tag: crown_estate_cannot_marry, Categories: Country, , All, 
Tag: nobles_estate_cannot_marry, Categories: Country, , All, 
Tag: clergy_estate_cannot_marry, Categories: Country, , All, 
Tag: burghers_estate_cannot_marry, Categories: Country, , All, 
Tag: peasants_estate_cannot_marry, Categories: Country, , All, 
Tag: dhimmi_estate_cannot_marry, Categories: Country, , All, 
Tag: empty_unit_maintenance_cost_modifier, Categories: Country, , All, 
Tag: change_heir_selection_cost_modifier, Categories: Country, , All, 
Tag: expand_rgo_mining_cost_modifier, Categories: Country, , All, 
Tag: expand_rgo_farming_cost_modifier, Categories: Country, , All, 
Tag: expand_rgo_hunting_cost_modifier, Categories: Country, , All, 
Tag: expand_rgo_gathering_cost_modifier, Categories: Country, , All, 
Tag: expand_rgo_forestry_cost_modifier, Categories: Country, , All, 
Tag: embrace_institution_cost_modifier, Categories: Country, , All, 
Tag: grant_privilege_cost_modifier, Categories: Country, , All, 
Tag: create_supply_depot_cost_modifier, Categories: Country, , All, 
Tag: remove_government_reform_cost_modifier, Categories: Country, , All, 
Tag: set_cabine_action_cost_modifier, Categories: Country, , All, 
Tag: set_cabinet_member_cost_modifier, Categories: Country, , All, 
Tag: replace_cabinet_member_cost_modifier, Categories: Country, , All, 
Tag: set_policy_cost_modifier, Categories: Country, , All, 
Tag: change_policy_cost_modifier, Categories: Country, , All, 
Tag: declaring_war_cost_modifier, Categories: Country, , All, 
Tag: honoring_alliance_call_cost_modifier, Categories: Country, , All, 
Tag: war_breaking_truce_cost_modifier, Categories: Country, , All, 
Tag: war_breaking_truce_with_guarantor_cost_modifier, Categories: Country, , All, 
Tag: war_great_relations_cost_modifier, Categories: Country, , All, 
Tag: war_good_relations_cost_modifier, Categories: Country, , All, 
Tag: war_when_military_acces_cost_modifier, Categories: Country, , All, 
Tag: war_no_cb_cost_modifier, Categories: Country, , All, 
Tag: war_on_subject_cost_modifier, Categories: Country, , All, 
Tag: war_on_same_religion_cb_cost_modifier, Categories: Country, , All, 
Tag: war_on_same_religion_no_cb_cost_modifier, Categories: Country, , All, 
Tag: war_on_different_religion_cost_modifier, Categories: Country, , All, 
Tag: send_gift_cost_modifier, Categories: Country, , All, 
Tag: replace_rival_cost_modifier, Categories: Country, , All, 
Tag: create_colonial_charter_cost_modifier, Categories: Country, , All, 
Tag: abandon_colonial_charter_cost_modifier, Categories: Country, , All, 
Tag: capital_movement_cost_modifier, Categories: Country, , All, 
Tag: create_market_cost_modifier, Categories: Country, , All, 
Tag: relocate_market_cost_modifier, Categories: Country, , All, 
Tag: hire_advisor_cost_modifier, Categories: Country, , All, 
Tag: hire_artist_cost_modifier, Categories: Country, , All, 
Tag: train_general_cost_modifier, Categories: Country, , All, 
Tag: train_admiral_cost_modifier, Categories: Country, , All, 
Tag: destroy_market_cost_modifier, Categories: Country, , All, 
Tag: change_court_language_cost_modifier, Categories: Country, , All, 
Tag: change_liturgical_language_cost_modifier, Categories: Country, , All, 
Tag: invite_religious_figure_same_school_cost_modifier, Categories: Country, , All, 
Tag: invite_religious_figure_different_school_cost_modifier, Categories: Country, , All, 
Tag: dismiss_religious_figure_cost_modifier, Categories: Country, , All, 
Tag: propose_curia_action_cost_modifier, Categories: Country, , All, 
Tag: change_curia_vote_cost_modifier, Categories: Country, , All, 
Tag: invite_artist_cost_modifier, Categories: Country, , All, 
Tag: convert_religion_cost_modifier, Categories: Country, , All, 
Tag: policy_vote_cost_modifier, Categories: Country, , All, 
Tag: orthodox_synod_cost_modifier, Categories: Country, , All, 
Tag: periphora_cost_modifier, Categories: Country, , All, 
Tag: canonize_cost_modifier, Categories: Country, , All, 
Tag: change_parliament_type_cost_modifier, Categories: Country, , All, 
Tag: change_organization_parliament_type_cost_modifier, Categories: Country, , All, 
Tag: add_accepted_culture_cost_modifier, Categories: Country, , All, 
Tag: remove_accepted_culture_cost_modifier, Categories: Country, , All, 
Tag: add_tolerated_culture_cost_modifier, Categories: Country, , All, 
Tag: remove_tolerated_culture_cost_modifier, Categories: Country, , All, 
Tag: change_primary_culture_cost_modifier, Categories: Country, , All, 
Tag: settle_country_cost_modifier, Categories: Country, , All, 
Tag: extend_regency_cost_modifier, Categories: Country, , All, 
Tag: hire_privateer_cost_modifier, Categories: Country, , All, 
Tag: dismiss_privateer_cost_modifier, Categories: Country, , All, 
Tag: privateer_maintenance_cost_modifier, Categories: Country, , All, 
Tag: select_expensive_child_education_cost_modifier, Categories: Country, , All, 
Tag: deselect_expensive_child_education_cost_modifier, Categories: Country, , All, 
Tag: start_exploration_land_cost_modifier, Categories: Country, , All, 
Tag: start_exploration_sea_cost_modifier, Categories: Country, , All, 
Tag: recruit_explorer_cost_modifier, Categories: Country, , All, 
Tag: city_upgrade_cost_modifier, Categories: Country, , All, 
Tag: town_upgrade_cost_modifier, Categories: Country, , All, 
Tag: rural_settlement_upgrade_cost_modifier, Categories: Country, , All, 
Tag: rural_settlement_downgrade_cost_modifier, Categories: Country, , All, 
Tag: global_foreign_build_buildings_cost, Categories: Country, , All, 
Tag: small_estate_building_cost_modifier, Categories: Country, , All, 
Tag: orthodox_monastery_building_cost_modifier, Categories: Country, , All, 
Tag: miaphysite_monastery_building_cost_modifier, Categories: Country, , All, 
Tag: free_building_cost_modifier, Categories: Country, , All, 
Tag: remove_panaqa_early_cost_modifier, Categories: Country, , All, 
Tag: remove_lutheran_preacher_cost_modifier, Categories: Country, , All, 
Tag: army_infantry_build_cost_modifier, Categories: Country, , All, 
Tag: army_infantry_reinforce_cost_modifier, Categories: Country, , All, 
Tag: army_infantry_maintenance_cost_modifier, Categories: Country, , All, 
Tag: army_cavalry_build_cost_modifier, Categories: Country, , All, 
Tag: army_artillery_build_cost_modifier, Categories: Country, , All, 
Tag: army_artillery_reinforce_cost_modifier, Categories: Country, , All, 
Tag: army_artillery_maintenance_cost_modifier, Categories: Country, , All, 
Tag: army_auxiliary_build_cost_modifier, Categories: Country, , All, 
Tag: army_auxiliary_reinforce_cost_modifier, Categories: Country, , All, 
Tag: army_auxiliary_maintenance_cost_modifier, Categories: Country, , All, 
Tag: navy_heavy_ship_reinforce_cost_modifier, Categories: Country, , All, 
Tag: navy_heavy_ship_maintenance_cost_modifier, Categories: Country, , All, 
Tag: navy_light_ship_reinforce_cost_modifier, Categories: Country, , All, 
Tag: navy_light_ship_maintenance_cost_modifier, Categories: Country, , All, 
Tag: navy_galley_build_cost_modifier, Categories: Country, , All, 
Tag: navy_galley_reinforce_cost_modifier, Categories: Country, , All, 
Tag: navy_galley_maintenance_cost_modifier, Categories: Country, , All, 
Tag: navy_transport_build_cost_modifier, Categories: Country, , All, 
Tag: navy_transport_reinforce_cost_modifier, Categories: Country, , All, 
Tag: navy_transport_maintenance_cost_modifier, Categories: Country, , All, 
Tag: subject_pays_vassal_cost_modifier, Categories: Country, , All, 
Tag: subject_pays_samanta_cost_modifier, Categories: Country, , All, 
Tag: subject_pays_maha_samanta_cost_modifier, Categories: Country, , All, 
Tag: subject_pays_pradhana_maha_samanta_cost_modifier, Categories: Country, , All, 
Tag: subject_pays_march_cost_modifier, Categories: Country, , All, 
Tag: hanseatic_member_cost_cost_modifier, Categories: Country, , All, 
Tag: subject_pays_trade_company_cost_modifier, Categories: Country, , All, 
Tag: rank_empire_upgrade_cost_modifier, Categories: Country, , All, 
Tag: rank_kingdom_upgrade_cost_modifier, Categories: Country, , All, 
Tag: rank_duchy_upgrade_cost_modifier, Categories: Country, , All, 
Tag: allow_open_sea_exploration, Categories: Country, , All, 
Tag: may_explore, Categories: Country, , All, 
Tag: may_not_take_land_in_peace_treaties, Categories: Country, , All, 
Tag: exploration_maintenance_cost, Categories: Country, , All, 
Tag: exploration_mission_speed, Categories: Country, , All, 
Tag: exploration_mission_speed_modifier, Categories: Country, , All, 
Tag: exploration_preparation_time_modifier, Categories: Country, , All, 
Tag: character_mil_child_education, Categories: Character, , All, 
Tag: character_dip_child_education, Categories: Character, , All, 
Tag: character_adm_child_education, Categories: Character, , All, 
Tag: character_child_education, Categories: Character, , All, 
Tag: country_child_education, Categories: Country, , All, 
Tag: can_hire_privateers, Categories: Country, , All, 
Tag: allow_subjects, Categories: Country, , All, 
Tag: disallow_migration_beyond_borders, Categories: Country, , All, 
Tag: disallow_diplomatic_subjugation, Categories: Country, , All, 
Tag: disallow_military_subjugation, Categories: Country, , All, 
Tag: has_cultural_maintenance, Categories: Country, , All, 
Tag: has_stability_investment, Categories: Country, , All, 
Tag: has_codified_laws, Categories: Country, , All, 
Tag: has_road_building, Categories: Country, , All, 
Tag: can_build_cities, Categories: Country, , All, 
Tag: enable_taxation, Categories: Country, , All, 
Tag: privateer_durability, Categories: Country, , All, 
Tag: election_term_in_months, Categories: Country, , All, 
Tag: subject_not_obligated_to_join_war, Categories: Country, , All, 
Tag: own_coast_naval_combat_bonus, Categories: Unit, , All, 
Tag: gender_equality, Categories: Country, , All, 
Tag: cultures_capacity, Categories: Country, , All, 
Tag: cultures_capacity_modifier, Categories: Country, , All, 
Tag: food_purchase_cost, Categories: Country, , All, 
Tag: diplomatic_annexation_cost, Categories: Country, , All, 
Tag: merchant_maintenance_cost, Categories: Country, , All, 
Tag: monthly_reform_desire, Categories: Religion, , All, 
Tag: global_max_rgo_size_modifier, Categories: Country, , All, 
Tag: local_max_rgo_size_modifier, Categories: Location, , All, 
Tag: global_max_rgo_size_modifier_in_rural, Categories: Country, , All, 
Tag: global_max_rgo_size_modifier_in_non_rural, Categories: Country, , All, 
Tag: local_max_rgo_size, Categories: Location, , All, 
Tag: gives_cardinal, Categories: Location, , All, 
Tag: blocked_from_cabinet, Categories: Character, , All, 
Tag: cannot_be_removed_from_from_cabinet, Categories: Character, , All, 
Tag: monthly_religious_influence, Categories: Country, , All, 
Tag: monthly_purity, Categories: Country, , All, 
Tag: monthly_honor, Categories: Country, , All, 
Tag: monthly_yanantin, Categories: Country, , All, 
Tag: allow_righteousness, Categories: Country, , All, 
Tag: monthly_righteousness, Categories: Country, , All, 
Tag: allow_harmony, Categories: Country, , All, 
Tag: monthly_harmony, Categories: Country, , All, 
Tag: allow_self_control, Categories: Country, , All, 
